Rubro economico,Subrubro economico,Actividad economica
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011901 - Cultivo de flores
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011600 - Cultivo de plantas de fibra
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011500 - Cultivo de tabaco
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011109 - Cultivo de semillas de raps
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011306 - Cultivo de hortalizas y melones
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011305 - Cultivo de semillas de hortalizas
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011304 - Cultivo de remolacha azucarera
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011303 - Cultivo de otros tubérculos (excepto papas y camotes)
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011302 - Cultivo de camotes
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011301 - Cultivo de papas
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011200 - Cultivo de arroz
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,"011111 - Cultivo de semillas de cereales, legumbres y oleaginosas (excepto semillas de raps y maravilla)"
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011110 - Cultivo de semillas de maravilla (girasol)
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011108 - Cultivo de otras legumbres (excepto porotos y lupino)
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011107 - Cultivo de lupino
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011106 - Cultivo de porotos
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,"011105 - Cultivo de otros cereales (excepto trigo, maíz, avena y cebada)"
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011104 - Cultivo de cebada
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011103 - Cultivo de avena
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011102 - Cultivo de maíz
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011101 - Cultivo de trigo
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011902 - Cultivos forrajeros en praderas mejoradas o sembradas; cultivos suplementarios forrajeros
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011400 - Cultivo de caña de azúcar
"A - Agricultura, ganadería, silvicultura y pesca",011 - Cultivo de plantas no perennes,011903 - Cultivos de semillas de flores; cultivo de semillas de plantas forrajeras
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012112 - Cultivo de uva destinada a la producción de vino
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012111 - Cultivo de uva destinada a la producción de pisco y aguardiente
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012900 - Cultivo de otras plantas perennes
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,"012802 - Cultivo de plantas aromáticas, medicinales y farmacéuticas"
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012801 - Cultivo de especias
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,"012700 - Cultivo de plantas con las que se preparan bebidas (incluye el cultivo de café, té y mate)"
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012120 - Cultivo de uva para mesa
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012200 - Cultivo de frutas tropicales y subtropicales (incluye el cultivo de paltas)
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012300 - Cultivo de cítricos
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012400 - Cultivo de frutas de pepita y de hueso
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012502 - Cultivo de otros frutos y nueces de árboles y arbustos
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012600 - Cultivo de frutos oleaginosos (incluye el cultivo de aceitunas)
"A - Agricultura, ganadería, silvicultura y pesca",012 - Cultivo de plantas perennes,012501 - Cultivo de semillas de frutas
"A - Agricultura, ganadería, silvicultura y pesca",013 - Propagación de plantas,013000 - Cultivo de plantas vivas incluida la producción en viveros (excepto viveros forestales)
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014101 - Cría de ganado bovino para la producción lechera
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014102 - Cría de ganado bovino para la producción de carne o como ganado reproductor
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014200 - Cría de caballos y otros equinos
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014410 - Cría de ovejas (ovinos)
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014500 - Cría de cerdos
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014602 - Cría de aves de corral para la producción de huevos
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014901 - Apicultura
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014909 - Cría de otros animales n.c.p.
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014601 - Cría de aves de corral para la producción de carne
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,014420 - Cría de cabras (caprinos)
"A - Agricultura, ganadería, silvicultura y pesca",014 - Ganadería,"014300 - Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos"
"A - Agricultura, ganadería, silvicultura y pesca",015 - Cultivo de productos agrícolas en combinación con la cría de animales,015000 - Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)
"A - Agricultura, ganadería, silvicultura y pesca",016 - Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha,016100 - Actividades de apoyo a la agricultura
"A - Agricultura, ganadería, silvicultura y pesca",016 - Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha,016200 - Actividades de apoyo a la ganadería
"A - Agricultura, ganadería, silvicultura y pesca",016 - Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha,016300 - Actividades poscosecha
"A - Agricultura, ganadería, silvicultura y pesca",016 - Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha,016400 - Tratamiento de semillas para propagación
"A - Agricultura, ganadería, silvicultura y pesca",017 - Caza ordinaria y mediante trampas y actividades de servicios conexas,017000 - Caza ordinaria y mediante trampas y actividades de servicios conexas
"A - Agricultura, ganadería, silvicultura y pesca",021 - Silvicultura y otras actividades forestales,021001 - Explotación de viveros forestales
"A - Agricultura, ganadería, silvicultura y pesca",021 - Silvicultura y otras actividades forestales,021002 - Silvicultura y otras actividades forestales (excepto explotación de viveros forestales)
"A - Agricultura, ganadería, silvicultura y pesca",022 - Extracción de madera,022000 - Extracción de madera
"A - Agricultura, ganadería, silvicultura y pesca",023 - Recolección de productos forestales distintos de la madera,023000 - Recolección de productos forestales distintos de la madera
"A - Agricultura, ganadería, silvicultura y pesca",024 - Servicios de apoyo a la silvicultura,024009 - Otros servicios de apoyo a la silvicultura n.c.p.
"A - Agricultura, ganadería, silvicultura y pesca",024 - Servicios de apoyo a la silvicultura,024003 - Servicios de extinción y prevención de incendios forestales
"A - Agricultura, ganadería, silvicultura y pesca",024 - Servicios de apoyo a la silvicultura,024002 - Servicios de corta de madera a cambio de una retribución o por contrata
"A - Agricultura, ganadería, silvicultura y pesca",024 - Servicios de apoyo a la silvicultura,024001 - Servicios de forestación a cambio de una retribución o por contrata
"A - Agricultura, ganadería, silvicultura y pesca",031 - Pesca,"031110 - Pesca marítima industrial, excepto de barcos factoría"
"A - Agricultura, ganadería, silvicultura y pesca",031 - Pesca,031120 - Pesca marítima artesanal
"A - Agricultura, ganadería, silvicultura y pesca",031 - Pesca,031130 - Recolección y extracción de productos marinos
"A - Agricultura, ganadería, silvicultura y pesca",031 - Pesca,031140 - Servicios relacionados con la pesca marítima
"A - Agricultura, ganadería, silvicultura y pesca",031 - Pesca,031200 - Pesca de agua dulce
"A - Agricultura, ganadería, silvicultura y pesca",032 - Acuicultura,032140 - Servicios relacionados con la acuicultura marina
"A - Agricultura, ganadería, silvicultura y pesca",032 - Acuicultura,032200 - Acuicultura de agua dulce
"A - Agricultura, ganadería, silvicultura y pesca",032 - Acuicultura,032110 - Cultivo y crianza de peces marinos
"A - Agricultura, ganadería, silvicultura y pesca",032 - Acuicultura,"032120 - Cultivo, reproducción y manejo de algas marinas"
"A - Agricultura, ganadería, silvicultura y pesca",032 - Acuicultura,"032130 - Reproducción y cría de moluscos, crustáceos y gusanos marinos"
B - Explotación de minas y canteras,040 - Extracción y procesamiento de cobre,040000 - Extracción y procesamiento de cobre
B - Explotación de minas y canteras,051 - Extracción de carbón de piedra,051000 - Extracción de carbón de piedra
B - Explotación de minas y canteras,052 - Extracción de lignito,052000 - Extracción de lignito
B - Explotación de minas y canteras,061 - Extracción de petróleo crudo,061000 - Extracción de petróleo crudo
B - Explotación de minas y canteras,062 - Extracción de gas natural,062000 - Extracción de gas natural
B - Explotación de minas y canteras,071 - Extracción de minerales de hierro,071000 - Extracción de minerales de hierro
B - Explotación de minas y canteras,"072 - Extracción de minerales metalíferos no ferrosos, excepto cobre","072999 - Extracción de otros minerales metalíferos no ferrosos n.c.p. (excepto zinc, plomo y manganeso)"
B - Explotación de minas y canteras,"072 - Extracción de minerales metalíferos no ferrosos, excepto cobre",072910 - Extracción de oro y plata
B - Explotación de minas y canteras,"072 - Extracción de minerales metalíferos no ferrosos, excepto cobre",072992 - Extracción de manganeso
B - Explotación de minas y canteras,"072 - Extracción de minerales metalíferos no ferrosos, excepto cobre",072100 - Extracción de minerales de uranio y torio
B - Explotación de minas y canteras,"072 - Extracción de minerales metalíferos no ferrosos, excepto cobre",072991 - Extracción de zinc y plomo
B - Explotación de minas y canteras,"081 - Extracción de piedra, arena y arcilla","081000 - Extracción de piedra, arena y arcilla"
B - Explotación de minas y canteras,089 - Explotación de minas y canteras n.c.p.,089190 - Extracción de minerales para la fabricación de abonos y productos químicos n.c.p.
B - Explotación de minas y canteras,089 - Explotación de minas y canteras n.c.p.,089900 - Explotación de otras minas y canteras n.c.p.
B - Explotación de minas y canteras,089 - Explotación de minas y canteras n.c.p.,089300 - Extracción de sal
B - Explotación de minas y canteras,089 - Explotación de minas y canteras n.c.p.,089110 - Extracción y procesamiento de litio
B - Explotación de minas y canteras,089 - Explotación de minas y canteras n.c.p.,089200 - Extracción de turba
B - Explotación de minas y canteras,091 - Actividades de apoyo para la extracción de petróleo y gas natural,091001 - Actividades de apoyo para la extracción de petróleo y gas natural prestados por empresas
B - Explotación de minas y canteras,091 - Actividades de apoyo para la extracción de petróleo y gas natural,091002 - Actividades de apoyo para la extracción de petróleo y gas natural prestados por profesionales
B - Explotación de minas y canteras,099 - Actividades de apoyo para la explotación de otras minas y canteras,099001 - Actividades de apoyo para la explotación de otras minas y canteras prestados por empresas
B - Explotación de minas y canteras,099 - Actividades de apoyo para la explotación de otras minas y canteras,099002 - Actividades de apoyo para la explotación de otras minas y canteras prestados por profesionales
C - Industria manufacturera,101 - Elaboración y conservación de carne,101020 - Elaboración y conservación de carne y productos cárnicos
C - Industria manufacturera,101 - Elaboración y conservación de carne,101019 - Explotación de mataderos de aves y de otros tipos de animales n.c.p.
C - Industria manufacturera,101 - Elaboración y conservación de carne,"101011 - Explotación de mataderos de bovinos, ovinos, equinos, caprinos, porcinos y camélidos"
C - Industria manufacturera,"102 - Elaboración y conservación de pescado, crustáceos y moluscos",102060 - Elaboración y procesamiento de algas
C - Industria manufacturera,"102 - Elaboración y conservación de pescado, crustáceos y moluscos","102050 - Actividades de elaboración y conservación de pescado, realizadas en barcos factoría"
C - Industria manufacturera,"102 - Elaboración y conservación de pescado, crustáceos y moluscos",102020 - Elaboración y conservación de salmónidos
C - Industria manufacturera,"102 - Elaboración y conservación de pescado, crustáceos y moluscos","102030 - Elaboración y conservación de otros pescados, en plantas en tierra (excepto barcos factoría)"
C - Industria manufacturera,"102 - Elaboración y conservación de pescado, crustáceos y moluscos",102010 - Producción de harina de pescado
C - Industria manufacturera,"102 - Elaboración y conservación de pescado, crustáceos y moluscos","102040 - Elaboración y conservación de crustáceos, moluscos y otros productos acuáticos, en plantas en tierra"
C - Industria manufacturera,"103 - Elaboración y conservación de frutas, legumbres y hortalizas","103000 - Elaboración y conservación de frutas, legumbres y hortalizas"
